LEADER_PERCENTILE,LEADER_RANK,METRIC,NUM_COMPETITORS,PUBLIC_ERROR,SCORE,STATUS,dataset,fold,framework,metric_error,metric_score,problem_type,time_train_s
0.27047075600000003,948.0,Log-Loss,3505,0.46348,0.46425,,otto-group-product-classification-challenge,0,H2OAutoML_4h,0.46425,-0.46425,multiclass,14421.303590000001
0.42114767299999994,2099.0,RMSLE,4984,0.13241,0.13241,,house-prices-advanced-regression-techniques,0,H2OAutoML_8h,0.13241,-0.13241,regression,22209.47444
0.63546798,1935.0,MAE,3045,1160.17046,1167.92691,,allstate-claims-severity,0,H2OAutoML_8h,1167.92691,-1167.92691,regression,28935.8124
0.445578231,1703.0,R2,3822,0.44825,0.5474399999999999,,mercedes-benz-greener-manufacturing,0,H2OAutoML_8h,0.45256,-0.45256,regression,20139.73949
0.622057835,2775.0,RMSLE,4461,1.49221,1.41749,,santander-value-prediction-challenge,0,H2OAutoML_8h,1.41749,-1.41749,regression,28868.266760000002
0.546917808,1597.0,Log-Loss,2920,0.46212,0.45933,,bnp-paribas-cardif-claims-management,0,H2OAutoML_8h,0.45933,-0.45933,binary,29964.26689
0.695965253,6089.0,AUC,8749,0.11750999999999999,0.8810399999999999,,santander-customer-transaction-prediction,0,H2OAutoML_8h,0.11896,-0.11896,binary,28864.8069
0.382795699,1958.0,AUC,5115,0.16042,0.82516,,santander-customer-satisfaction,0,H2OAutoML_8h,0.17484,-0.17484,binary,27253.872860000003
0.609505335,3142.0,Gini,5155,0.72511,0.27975,,porto-seguro-safe-driver-prediction,0,H2OAutoML_8h,0.72025,-0.72025,binary,28795.39695
0.208273894,730.0,Log-Loss,3505,0.45197,0.45281000000000005,,otto-group-product-classification-challenge,0,H2OAutoML_8h,0.45281000000000005,-0.45281000000000005,multiclass,28828.839519999998
0.46207865200000003,2303.0,RMSLE,4984,0.13502,0.13502,,house-prices-advanced-regression-techniques,0,GCPTables_4h,0.13502,-0.13502,regression,7043.645603
0.259441708,790.0,MAE,3045,1116.1866300000002,1124.60003,,allstate-claims-severity,0,GCPTables_4h,1124.60003,-1124.60003,regression,16374.60586
0.34144427,1305.0,R2,3822,0.44658000000000003,0.54906,,mercedes-benz-greener-manufacturing,0,GCPTables_4h,0.45093999999999995,-0.45093999999999995,regression,14690.199030000002
0.5595890410000001,1634.0,Log-Loss,2920,0.4616,0.45978,,bnp-paribas-cardif-claims-management,0,GCPTables_4h,0.45978,-0.45978,binary,15105.3612
0.5956109270000001,5211.0,AUC,8749,0.10192000000000001,0.8957799999999999,,santander-customer-transaction-prediction,0,GCPTables_4h,0.10422000000000001,-0.10422000000000001,binary,16494.58351
0.23636363600000002,1209.0,AUC,5115,0.16059,0.82619,,santander-customer-satisfaction,0,GCPTables_4h,0.17381,-0.17381,binary,17154.5394
0.565664403,2916.0,Gini,5155,0.72196,0.28165999999999997,,porto-seguro-safe-driver-prediction,0,GCPTables_4h,0.71834,-0.71834,binary,14450.54514
0.8807498420000001,5591.0,AUC,6348,0.21275500000000003,0.77079,,ieee-fraud-detection,0,GCPTables_4h,0.22921,-0.22921,binary,17217.43244
0.601150527,627.0,Log-Loss,1043,1.99525,1.99299,,walmart-recruiting-trip-type-classification,0,GCPTables_4h,1.99299,-1.99299,multiclass,14147.119840000001
0.17860199699999998,626.0,Log-Loss,3505,0.44555,0.44682,,otto-group-product-classification-challenge,0,GCPTables_4h,0.44682,-0.44682,multiclass,8309.619111
0.466894061,2327.0,RMSLE,4984,0.13530999999999999,0.13530999999999999,,house-prices-advanced-regression-techniques,0,GCPTables_8h,0.13530999999999999,-0.13530999999999999,regression,9274.083024
0.242692939,739.0,MAE,3045,1115.62744,1123.68052,,allstate-claims-severity,0,GCPTables_8h,1123.68052,-1123.68052,regression,30889.44345
0.473835688,1811.0,R2,3822,0.44547,0.54702,,mercedes-benz-greener-manufacturing,0,GCPTables_8h,0.45298,-0.45298,regression,23477.61279
0.569520548,1663.0,Log-Loss,2920,0.46184,0.46013999999999994,,bnp-paribas-cardif-claims-management,0,GCPTables_8h,0.46013999999999994,-0.46013999999999994,binary,29266.41833
0.624642816,5465.0,AUC,8749,0.10454000000000001,0.89412,,santander-customer-transaction-prediction,0,GCPTables_8h,0.10588,-0.10588,binary,31433.83131
0.255522972,1307.0,AUC,5115,0.1619,0.8259700000000001,,santander-customer-satisfaction,0,GCPTables_8h,0.17403,-0.17403,binary,32927.482130000004
0.561396702,2894.0,Gini,5155,0.7223,0.28175,,porto-seguro-safe-driver-prediction,0,GCPTables_8h,0.71825,-0.71825,binary,16320.04549
0.880434783,5589.0,AUC,6348,0.210115,0.771877,,ieee-fraud-detection,0,GCPTables_8h,0.228123,-0.228123,binary,32516.37662
0.6021093000000001,628.0,Log-Loss,1043,1.99845,1.99738,,walmart-recruiting-trip-type-classification,0,GCPTables_8h,1.99738,-1.99738,multiclass,28786.214239999998
0.11640513599999999,408.0,Log-Loss,3505,0.43268,0.43506000000000006,,otto-group-product-classification-challenge,0,GCPTables_8h,0.43506000000000006,-0.43506000000000006,multiclass,30887.44702
