acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.522633,0.5258229999999999,numerai28.6,0,autogluon_noknn_1h,openml.org/t/167120,,,0.47417700000000007,0.5258229999999999,local,9.0,9.0,,binary,603070006,stable,2.65127,295.4,2020-02-03T08:45:51,0.0.5
0.907579,0.969706,phoneme,0,autogluon_noknn_1h,openml.org/t/9952,,,0.030294000000000043,0.969706,local,9.0,9.0,,binary,1043609771,stable,0.594533,41.7,2020-02-03T08:40:03,0.0.5
0.997,0.999735,riccardo,0,autogluon_noknn_1h,openml.org/t/168338,,,0.0002649999999999597,0.999735,local,9.0,9.0,,binary,1007786610,stable,5.14445,1516.8,2020-02-03T09:23:20,0.0.5
0.522,,Robert,0,autogluon_noknn_1h,openml.org/t/168332,,1.32268,1.32268,1.32268,local,8.0,8.0,,multiclass,1795140101,stable,7.492889999999999,3619.1,2020-02-03T09:59:50,0.0.5
0.991342,,segment,0,autogluon_noknn_1h,openml.org/t/146822,,0.0593431,0.0593431,0.0593431,local,9.0,9.0,,multiclass,4192907888,stable,0.16924,40.3,2020-02-03T08:40:03,0.0.5
0.999655,,Shuttle,0,autogluon_noknn_1h,openml.org/t/146212,,0.000982111,0.000982111,0.000982111,local,9.0,9.0,,multiclass,367774119,stable,0.028877,341.5,2020-02-03T08:46:22,0.0.5
0.935673,0.983934,sylvine,0,autogluon_noknn_1h,openml.org/t/168912,,,0.016066000000000025,0.983934,local,9.0,9.0,,binary,1876042348,stable,0.318902,24.0,2020-02-03T08:39:48,0.0.5
0.811765,,vehicle,0,autogluon_noknn_1h,openml.org/t/53,,0.411528,0.411528,0.411528,local,9.0,9.0,,multiclass,1309261820,stable,0.192491,16.0,2020-02-03T08:39:49,0.0.5
0.7132569999999999,,Volkert,0,autogluon_noknn_1h,openml.org/t/168331,,0.7975140000000001,0.7975140000000001,0.7975140000000001,local,9.0,9.0,,multiclass,2946173328,stable,3.15404,884.1,2020-02-03T08:56:07,0.0.5
0.876561,0.932329,adult,0,autogluon_nonn_1h,openml.org/t/7592,,,0.06767100000000004,0.932329,local,10.0,10.0,,binary,1539072796,stable,0.121497,35.6,2020-02-03T08:35:50,0.0.5
0.673743,0.728785,Airlines,0,autogluon_nonn_1h,openml.org/t/189354,,,0.271215,0.728785,local,10.0,10.0,,binary,2843475299,stable,1.2332299999999998,577.7,2020-02-03T08:49:06,0.0.5
