id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,models_ensemble,predict_duration
openml.org/t/9981,cnae-9,AutoPilot,5,,local,1.0,,stable,2020-02-04T04:21:10,1.3,,1922458084,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/9981,cnae-9,AutoPilot,6,,local,1.0,,stable,2020-02-04T04:21:12,1.3,,1922458085,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/9981,cnae-9,AutoPilot,7,,local,1.0,,stable,2020-02-04T04:21:13,1.3,,1922458086,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/9981,cnae-9,AutoPilot,8,,local,1.0,,stable,2020-02-04T04:21:14,1.3,,1922458087,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/9981,cnae-9,AutoPilot,9,,local,1.0,,stable,2020-02-04T04:21:15,1.3,,1922458088,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/146195,connect-4,AutoPilot,0,0.864417,local,1.0,,stable,2020-02-04T06:32:26,3668.2,10.0,1143765317,,0.864417,1.0,240.755
openml.org/t/146195,connect-4,AutoPilot,1,,local,1.0,,stable,2020-02-04T06:32:27,1.7,,1143765318,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/146195,connect-4,AutoPilot,2,,local,1.0,,stable,2020-02-04T06:32:29,1.5,,1143765319,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/146195,connect-4,AutoPilot,3,,local,1.0,,stable,2020-02-04T06:32:31,1.6,,1143765320,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/146195,connect-4,AutoPilot,4,,local,1.0,,stable,2020-02-04T06:32:32,1.6,,1143765321,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/146195,connect-4,AutoPilot,5,,local,1.0,,stable,2020-02-04T06:32:34,1.7,,1143765322,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/146195,connect-4,AutoPilot,6,,local,1.0,,stable,2020-02-04T06:32:35,1.5,,1143765323,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/146195,connect-4,AutoPilot,7,,local,1.0,,stable,2020-02-04T06:32:37,1.6,,1143765324,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/146195,connect-4,AutoPilot,8,,local,1.0,,stable,2020-02-04T06:32:39,1.7,,1143765325,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/146195,connect-4,AutoPilot,9,,local,1.0,,stable,2020-02-04T06:32:40,1.5,,1143765326,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
